"2151-4755";"Creative Education";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0963-1690";"Creativity and Innovation Management (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1742-2043";"Critical Perspectives on International Business";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1012-2508";"Cuadernos del CENDES";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1668-0227";"Cuadernos del Centro de Estudios de Diseño y Comunicación";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1676-0158";"Cultivar Máquinas";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1982-5838";"Cultur: Revista de Cultura e Turismo";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1138-1728";"Cultura de los Cuidados";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1475-9551";"Culture and Organization";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2161-3303";"Current Obstetrics and Gynecology Reports";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1808-2882";"Custos e @gronegócio Online";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2316-5537";"DESENVOLVE  REVISTA DE GESTÃO DO UNILASALLE";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0011-5258";"Dados (Rio de Janeiro. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1517-3801";"Datagramazero (Rio de Janeiro)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1129-6569";"Decisions in Economics and Finance (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1351-0347";"Democratization (London)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2317-949X";"Desafio Online";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
